"","domgl_trend","do_below2_trend","chla_trend","chla_trend_asPredictor","chla_median.log10","chla_seasAmp","dailyPAR_median","dailyPAR_trend","domgl_seasAmp","latitude","nh4_median.log10","nh4f_trend","no23_median.log10","no23f_trend","po4_median.log10","po4f_trend","precp_trend","spcond_median","spcond_trend","temp_median","temp_seasAmp","temp_trend","totprcp_total","turb_median.log10","turb_trend","wspd_median","chla_seasAmp_trend","domgl_seasAmp_trend","temp_seasAmp_trend","pctDev.log10"
"acefc",-0.0234870270848309,0.000631719429136461,-0.00187565657003872,-0.896553486177189,0.678987660273675,-0.452270481981974,0.439547406815434,0.143895021092995,1.34293304375216,-0.482615821223775,0.6255346668183,1.05666372006381,0.0518891109147915,-0.143365315667761,1.33872209206983,-0.224723014828292,1.34340710810825,-1.10778080622996,-0.453028286993407,0.464099370589114,-0.0643183780233875,0.651807753901622,-0.0500444278229579,1.31592580908012,-0.323852840909879,-1.18163501929986,-1.17933685574359,-0.227999151846331,-0.117942853575969,-1.73349706969623
"acemc",-0.0132560111630063,-0.00491342384827659,-0.00926128964262373,-1.40393025152421,0.605733866292057,-0.886021009588723,0.439547406815434,0.143895021092995,0.895254316725357,-0.492818622767641,0.433337830748192,0.0787814054587651,0.00601204973972898,-0.173523498834496,1.08829867866133,-0.226506913070437,1.34340710810825,-0.194976383669755,-0.619747160757403,0.531247606294429,-0.10606013182037,0.865909559545427,-0.0500444278229579,1.16362495366804,-0.0462947187206383,-1.18163501929986,-0.0767061874650903,0.099382078166324,-0.36493187913207,-1.19057480432505
"acesp",-0.00827376933864588,0.0324332972966062,0.000966210307095934,-0.701323475493387,-0.0478076880986192,-1.41334371717303,0.439547406815434,0.143895021092995,0.159590553512497,-0.496358344256714,0.646425938235211,0.320072328829061,-0.371987584964355,-0.275586330257597,0.790784653641065,-0.467763965994065,1.34340710810825,0.69820068823828,-0.411198921905128,0.588803236898984,-0.19651077602031,0.251526934148917,-0.0500444278229579,0.822926384466625,-0.576914526165877,-1.18163501929986,-0.793126029859601,-0.15299379081476,-0.0816320122159221,-1.19057480432505
"apacp",0.00817186475109645,-0.00868478151232415,0.0260497009082736,1.02185721866793,0.402032793621373,-1.14072053383565,0.893803017146606,-0.0379445322343828,-0.324645085135433,-0.856174853464352,-0.286360894465585,-1.17018247370036,0.0872834418673013,-1.07018234127184,-1.27074630053569,-0.196570775393164,-0.551567739461038,0.176351871911908,0.133353870853466,0.943729625627077,-0.568683727735213,-0.0028268318815069,0.885993252403717,0.0782365451784066,0.469667596925714,0.298597014553257,-0.974804879396952,-1.04721852807499,-0.176842941995533,-0.473362963534816
"apadb",-0.0125431042923608,0.0122394499909258,0.02436967378541,0.906443046461374,0.668831469994995,-1.61109862842468,0.893803017146606,-0.0379445322343828,-0.250472791761393,-0.859663643708979,-0.914203153938571,-1.02440996668475,0.0461320421702871,-1.11722957971231,-1.52972615335418,0.178412940460713,-0.551567739461038,0.094261803981533,-0.466765380786547,0.934137020526317,-0.576341334518734,-0.447026246175891,0.885993252403717,0.298686165246172,0.36447720953624,0.298597014553257,0.0821577074996861,-0.0140342205193039,0.0348816053386323,-1.33240103093211
"apaeb",-0.0517102183073051,0.0324455638083446,0.00744237248448763,-0.256425362476566,1.12165091442788,-0.999032746010157,0.893803017146606,-0.0379445322343828,0.750996745372528,-0.845517490563797,-0.0622742926145657,-0.0998351767257726,-0.1957377527593,-0.728008761060909,-1.52972615335418,-0.270884173115034,-0.551567739461038,-0.925829960994949,-0.167223869270304,1.10680391233998,-0.632156354848012,-0.0386744334933292,0.885993252403717,0.557889241380851,0.236737456353982,0.298597014553257,1.04156003442823,1.39682599158869,-0.108575862843242,-2.21784957920895
"apaes",-0.0188389054317521,-0.0111987117887091,0.00550716886766651,-0.389369599177847,1.06406386006767,-0.849903373410605,0.893803017146606,-0.0379445322343828,0.692545269993575,-0.845517490563797,-0.286360894465585,-0.38856849453898,-0.175554279149532,-0.577997326764452,-1.52972615335418,-0.494030054671953,-0.551567739461038,-1.03762628937186,-0.432937232940395,1.09721130723922,-0.614377538070021,0.178467698320954,0.885993252403717,0.0782365451784066,0.53223619939748,0.298597014553257,0.610833246799099,0.103380198463812,-0.138299261953922,-2.21784957920895
"cbmip",-0.0143868481126241,-0.00128639172522816,-0.0226444007192239,-2.32332057887885,-0.380665601230844,0.29510970361439,-0.817763271348716,1.06219148262687,0.0318486544830994,0.301734256229318,0.675314533796988,0.0918686808523609,1.15688528076569,-0.66942595175743,1.01016200345792,-1.31293265373962,1.57942570042988,-1.67339330982132,-0.00351692738158414,-0.504753744587571,0.520454240358675,-0.761489164849327,0.305412919098564,0.39284726768133,0.546286692462081,-0.789808892691679,0.100273546726388,0.0692451260587082,0.643077088931772,0.941593271399271
"cbmmc",0.0767460630039494,-0.0607829145876498,0.0128886219911037,0.117720012846349,0.546852976581451,0.89591741062391,-0.817763271348716,1.06219148262687,0.988220861819419,0.295024064773413,0.523815699997204,0.331371660069945,0.904355003849078,-0.315500250927423,0.00657345393726436,0.381418478160078,1.57942570042988,-1.68453315748877,-0.0221105685103399,-0.303309037471626,0.633028021031336,-0.392119252800007,0.305412919098564,0.879397843246151,1.67931608044827,-0.789808892691679,2.6482693894541,-2.01176145323303,0.564008026141373,0.941593271399271
"cbmoc",-0.0338364017500789,0.00684818333395739,-0.00339329166636346,-1.00081168294689,1.95791247499434,-0.749036179286287,-0.817763271348716,1.06219148262687,-0.265267182203272,0.385095970578107,0.260190683581885,0.119419713355137,1.40970860386385,-0.309695162756385,-1.0758271279679,-0.263139860720096,1.57942570042988,-1.67869799918677,0.115669642408337,0.301025083876206,0.606798530885637,-0.839690490140929,0.305412919098564,1.24270702742889,-1.28024923691082,-0.789808892691679,-0.190308204582835,1.8062103823259,0.41028579152991,1.02691479355228
