"reserve","station","dailyPAR_trend","precp_trend","dailyPAR_intcpt","precp_intcpt"
"ace","acebp",284.476053410018,0.0879170554429204,-537489.946620127,-168.565576556115
"apa","apaeb",238.941983530044,-0.00957249479030117,-443989.909071143,29.1662273374458
"cbm","cbmjb",514.424788410229,0.100059351917179,-1006014.42600473,-192.796309243488
"cbv","cbvtc",278.453703589442,0.0363835592528927,-528106.265936532,-64.0301440503665
"del","delsj",171.108948392219,0.024031817294634,-312372.691669845,-38.9118819303566
"elk","elkcw",446.890294228514,-0.0420060415510452,-864519.971291401,89.1078188756908
"gnd","gndcr",136.317728178012,0.0616024034684227,-236241.395233882,-113.743577891496
"grb","grbgl",346.221903350436,-0.0631479775771535,-667906.89886949,136.424125852635
"gtm","gtmpc",208.395052261164,0.0364758826000449,-382155.312576215,-64.2363677609547
"hud","hudfs",-145.283076006514,-0.101896701462229,314832.487320567,213.839153315304
"jac","jacnc",-231.33592698911,0.0528512796194016,494106.029088289,-96.8734836774098
"job","jobjb",437.130562221026,-0.0411825573055623,-839453.087844862,90.5363816220983
"kac","kacho",47.5864003911496,0.154492125405222,-74650.4317966428,-305.283729550598
"lks","lkspo",196.048199659781,-0.189408246745708,-370013.521260556,390.151001914125
"mar","marce",125.501235590515,0.0745920341215043,-213402.698052756,-143.485921348035
"nar","narpc",361.349455459475,-0.0398162554275093,-697774.931516292,89.1907725593669
"niw","niwol",359.930665967013,0.0243903547791386,-688689.456000568,-39.3129421276341
"noc","nocrc",52.7791127847061,0.00620206141653051,-70164.186244465,-3.18080104339816
"owc","owcow",-3.95803855609362,0.0402228001211319,36057.4383705053,-72.7204468711391
"pdb","pdbpf",200.272631554426,-0.0303032437267222,-377161.560965273,67.8173718345133
"rkb","rkbuh",-129.700423526329,0.0423810823211869,298057.297767128,-75.1846738441237
"sap","sapml",384.718205617419,-0.0121008246284631,-739842.401502011,32.2388169489229
"sfb","sfbrr",813.433438896992,-0.0287910547116361,-1607147.86714697,61.8401637339871
"sos","soscm",-4.49114155846935,-0.03982339878566,38218.7917163805,89.8255605708865
"tjr","tjrtl",21.5433768711968,0.00755975055073218,-3574.57187390302,-12.4256333863501
"wel","wellf",302.233999064988,-0.00377322777289539,-579315.733342771,16.8582315919137
"wkb","wkbsh",827.797154327818,0.0448060503368273,-1638107.45917387,-79.7998745257408
"wqb","wqbch",198.430124355761,0.0365392557435452,-370279.190688693,-63.5444336635341
