"reserve","station","do_pct_trend","domgl_trend","temp_trend","spcond_trend","turb_trend","do_proportion_below2_trend","chla_trend","no23f_mdl_trend","nh4f_mdl_trend","po4f_mdl_trend","do_pct_intcpt","domgl_intcpt","temp_intcpt","spcond_intcpt","turb_intcpt","do_proportion_below2_intcpt","chla_intcpt","no23f_mdl_intcpt","nh4f_mdl_intcpt","po4f_mdl_intcpt"
"ace","acefc",-0.160966558927579,-0.0234870270848305,0.058679968567881,-0.0855051762472391,-0.328707340971424,0.000631719429214573,-0.00336113721729385,-0.00469937977951525,0.0534425361701934,-0.0208673308923088,389.799040129778,53.057610647775,-97.3988906019486,184.339344648893,693.667338197087,-6.46541310576392,8.8875803658123,6.13167519261109,-110.748895850031,39.3077855194679
"ace","acemc",-0.10300126180676,-0.0132560111627156,0.0634470030554594,-0.118491753166128,-0.200933165968693,-0.0049134238477501,-0.0200811717828376,-0.0105004648722462,-0.0079771523453406,-0.0205224650929197,281.484190017995,32.8314615927887,-106.471772709211,266.053868736735,429.269727866428,3.68980161557863,42.4128261342203,17.8400469491071,12.6521662682575,38.3398539522448
"ace","acesp",-0.020078078864905,-0.00827376933863137,0.0497676080824519,-0.0772289233107696,-0.445204555341165,0.0324332973039184,0.00311302652159518,-0.0109399117528215,0.00792556760794263,-0.0333409669839081,123.061306831375,22.9523164033795,-79.3418641129197,200.119587446348,915.091229609905,-69.8395355295278,-4.86252940023057,17.8658012950642,-19.0955888207512,63.8640889886905
"apa","apacp",0.24708906810976,0.00817186475109547,0.044104352833069,0.030514922240556,0.0365906315570633,-0.00868478151321202,0.0586715473366832,-0.0604716128107902,-0.0763260936492552,0.00229244373360804,-404.26329479786,-9.23720467242779,-65.8660504422191,-27.714839894695,-64.9630168650011,10.9488637089706,-116.324225878888,118.404792708117,149.76941175529,-10.4946396471782
"apa","apadb",-0.103976083383369,-0.0125431042923361,0.0342141329855561,-0.0882231630631346,-0.0118338744940911,0.0122394499930449,0.055176902686481,-0.0625418634972283,-0.0650036896568637,0.0227545786337,303.654966200733,32.6078613762245,-46.0981387111095,210.267446916617,34.3250911609463,-30.9192066394484,-109.120542082094,122.385934943825,126.570079543792,-51.886878502938
"apa","apaeb",-0.553773424630219,-0.0517102183073048,0.0433061963079352,-0.028956633205523,-0.0706390049269201,0.0324455638198867,0.0164517214493034,-0.0334705838726659,-0.0140690761780354,0.00593505198778603,1197.05109685395,110.891696228294,-63.8239514566853,74.3473192161462,155.969551130933,-68.4767471828775,-30.8142547063884,63.4475492322377,24.6565667195056,-17.8462608697518
"apa","apaes",-0.173512169880841,-0.0188389054320338,0.0481409244761079,-0.0815300108389439,0.06539415385763,-0.0111987117868253,0.011573051924676,-0.0258593064952951,-0.0295184434469711,-0.00054545336748656,429.825891550974,44.5749486884941,-73.5498752160926,178.606392576355,-121.872932798248,19.6671107680869,-21.0741334507061,48.2095579475746,55.5567909404299,-4.80930378915284
"cbm","cbmip",-0.113678130930078,-0.0143868481131838,0.0272125312298297,0.00343401044993637,0.0718623131970013,-0.00128639171969854,-0.0508774150589746,-0.0357640745785241,-0.00653813078661521,-0.0835034018039653,313.344248977177,37.5284427915283,-39.2460450538842,-6.45612629915967,-132.754632523129,-6.11593320061731,103.590593489914,70.9487146457029,10.2985740021032,165.031446477277
"cbm","cbmmc",0.826103670975187,0.0767460630020509,0.0354366520117902,-0.000244880604466894,0.593453589871436,-0.0607829145848155,0.0322467991118197,-0.0140158508166714,0.00286170077353149,0.014206929217155,-1589.67354855709,-146.709099701962,-56.5140252777189,0.78787674477313,-1175.02040155274,118.628196391552,-62.9781811607723,26.5414393866363,-8.86783908205233,-32.840534411104
"cbm","cbmoc",-0.331708387094298,-0.0338364017489159,0.0254713576161198,0.0270159652897439,-0.768985433056107,0.00684818333552805,-0.00661234389865658,-0.0144910835339868,-0.00655001828151677,-0.0340356704212166,763.241075120654,77.6510163466802,-35.1629751005055,-53.4433638246846,1576.76144623617,-18.2290640460201,16.3842617826467,28.4590821402749,9.98940710969361,62.9589090392048
"cbm","cbmrr",-0.225940975540086,-0.0314374902869276,0.0533429083363682,0.00274230513782411,0.0886925153582716,-0.00359505039942916,-0.0198035072083592,-0.0355492426402132,-0.0195522056687344,-0.0330133989956532,538.133962422684,71.946337932999,-92.142991936831,-5.14961066301365,-158.499490037172,-2.90297041608456,41.9659550280353,70.9857396603598,36.4143253058569,62.3311073516284
"cbv","cbvcb",-0.211547676787317,-0.0282928570173459,0.0528609857590373,-0.024827443751216,-0.0247710874563683,-0.00527375993543486,0.0329176257115046,0.0296421982981146,-0.0209656174230712,0.0261317191953145,519.65686001571,65.5570228670325,-89.4329755547291,76.6410294144016,61.8937219614384,2.14773897934079,-64.1193397444117,-64.2047871212172,38.6378915586906,-57.1062170959506
"cbv","cbvgi",0.00149870513445838,-0.0124815086906378,0.044954945388684,-0.0274885215335267,-0.0180033271439129,-0.00725959587412204,0.0113956898740835,0.0313295121686047,-0.0402581927004465,0.0596093836673968,99.905840601316,34.345236143267,-73.6765162251386,86.7445754711986,40.6335929076292,7.24392894822703,-21.3945756596693,-68.8747003843093,77.6312269301447,-125.288694393068
"cbv","cbvtc",-0.199301414819508,-0.0277711971849502,0.0465706517696891,-0.045220875095366,-0.617704445058979,-0.00938931284211664,0.00818176798377948,0.0835656546228876,0.0503380964551541,0.020090527571623,487.336611976236,64.0596562317739,-76.6660020530769,109.995033594499,1284.71162266687,12.3215432422295,-14.1589069918909,-171.934515001801,-104.604230046541,-43.9869631804854
"del","delbl",0.441838195657848,0.0382620413290768,0.031524810617897,-0.000581059625601616,-0.417348794651821,-0.0155255682814861,0.083954210252933,-0.00158655347123922,0.00326563209993518,0.0232005001684077,-807.458562039792,-68.4798688706705,-47.8397998907012,4.55490507235988,882.057278048105,26.3787558215601,-165.984225140967,0.933895955861727,-9.97247907029072,-50.9975361038098
"del","delds",-0.215510716633053,-0.0270087833784278,0.0412161632854332,-0.000729373748733484,-0.196163479127515,0.00298308281910092,0.0362612191189965,0.0132256283533437,0.0118845156788108,0.0699645898053507,513.505535474303,62.6888359475851,-67.2528170416203,1.65073947085657,405.947934217672,-8.87808280189265,-69.9575751155282,-28.0750846770271,-27.0319776788279,-145.189895329943
"del","delll",-0.409623555063978,-0.0438224821327628,0.0441440762295412,-0.0255277247741342,-0.668184121710472,0.0214672837915864,0.0338261211154663,0.00955486733268077,0.0130791487039652,0.0162767189476076,897.194591503625,95.7568216935692,-73.5054298374707,57.3603300310914,1379.19673743649,-47.3948438656462,-65.2672047938504,-19.7448340773833,-28.7926342993582,-36.5684488748119
"del","delsl",-0.335340099234054,-0.0382500115283184,0.0493930160001104,-0.0156064274160348,-1.15355790026606,0.00903820297468474,0.0418841633505414,0.00193145263632597,-0.00217747316109379,0.00338759765051093,743.813969310693,84.005670988434,-84.4349505999755,48.266358715065,2361.26870790228,-21.9114598271511,-81.9531172248482,-4.49617257785073,2.34542653990043,-10.1760289335279
"elk","elkap",-0.892642313168236,-0.0726495841204949,0.0458665741891781,0.0438725498653991,-0.117609529655064,0.0482691070950453,0.0515105676609806,0.0233612525296203,0.00730401263243871,-0.0248692599831752,1869.73343780283,152.154631385634,-75.8728628156751,-39.2373600017916,242.015731522775,-98.9227982487484,-102.254132198698,-50.6147776587924,-17.5512026529265,47.2615674838393
"elk","elknm",0.354526271529182,0.022959622903291,0.0326050325221121,0.0602097021136607,0.0053788695407176,-0.00675262867275932,0.0373351429282716,0.0279352337753497,0.0336638842342693,-0.00683260429475198,-639.229435381675,-40.2030253714534,-48.7138912417935,-72.1435229582261,-4.92988499431379,10.9668728498732,-73.3951988945384,-59.0511007666348,-70.6039494670459,10.5734274602691
"elk","elksm",0.234696355638323,0.0141947985850391,0.0411903432811631,0.0668701605889944,-0.116462128014107,-0.0234366783398711,0.0326003552021096,0.00816085757378659,0.0184913783976288,-0.0260614663506793,-387.17436006617,-21.6297159362106,-66.8414015471252,-85.1430033256861,240.711161212765,41.5723834266119,-64.3263838549894,-18.7794454092632,-40.047285483959,49.3007781036414
"elk","elkvm",0.136116801609548,0.00675956045533518,0.0216350775891158,0.00884866269608201,-0.117626454389902,0.000374188216955924,0.0408354234610553,0.0277191873580284,0.0242182647222568,-0.0305187521509516,-181.423433326199,-5.7619609223279,-29.5932240195162,31.9471822198747,240.884401397211,-10.5792173216075,-81.2894614006149,-57.7020081003137,-51.6082621698356,58.1188620064404
"gnd","gndbc",-0.387587828959351,-0.0251998701450245,0.0221023757579061,-0.405491459194181,-0.0668778222094578,-0.00184533668614423,0.0854864958502738,-0.0711371382052112,-0.09823751003993,-0.0496159911235895,860.333865978078,56.9957354327533,-21.4548951807262,843.91457654203,143.48615171251,-1.61886377808841,-170.285637497976,138.210630753726,193.417953737249,94.4825548034654
"gnd","gndbh",-0.216335657488753,-0.0158195694773018,-0.000580307273287394,-0.428971591273281,-0.0563398759811005,0.0120140473967711,0.0756285383157168,-0.0581265714317808,-0.0824953728582059,-0.0523118771454336,481.196941742548,35.4853921391453,23.8505994179947,891.871222098704,120.631875395552,-25.5984862493316,-150.79826038235,112.015048974303,162.601543700894,99.8426287971048
"gnd","gndbl",-0.0921120473116399,-0.00312667772078958,0.0228714773361406,-0.413775635919138,-0.0634900542863856,-0.00303593532611907,0.109472823403302,-0.0858618761484973,-0.129910142915446,-0.066863717091974,277.569337676104,13.4725032985194,-23.5796588282662,866.338166816432,137.886184415108,-2.18425910689818,-218.793202370837,167.559805049189,256.623454661068,129.902613067826
"gnd","gndpc",0.0538282740594661,0.00726763288990143,0.0581129748189033,-0.450788514108427,-0.0201647195926859,0.00513961751456171,0.0891266619084813,-0.0770575753435034,-0.134111591070606,-0.0240074576039604,-11.5155269956991,-7.23294558315695,-94.6835885961115,942.459816827989,53.7135457884721,-17.2417155169597,-177.79843324707,149.901439363833,264.978212231382,43.1549470883087
"grb","grbgb",-0.434994806675601,-0.0586295180394523,0.0385327602613922,0.264126904991734,-0.126005391555875,0.000114063050943192,0.0196670988638841,0.0186982092894171,-0.0297919476708177,-0.00325271647138997,976.041837324462,127.185925935393,-63.5327121770644,-494.619047180353,259.322605062955,-10.3895358187763,-38.1516955826058,-40.8574542730374,56.0753597100401,2.45626703467693
"grb","grblr",-0.541424762066606,-0.065726587263169,0.0708703630339908,0.43456721031611,-0.0637471598922606,0.00478252433710841,0.0126812753501849,0.00625799648006621,0.0191944623631885,0.0566892697406538,1183.99419826502,141.72907970691,-129.240823780918,-858.684260283183,133.922381413028,-17.7104359734317,-24.6275440227609,-14.8671937310911,-42.0213015433295,-118.878405032601
"grb","grbor",0.0210572818603219,-0.0176259418334648,0.0433197193812459,0.364384072542034,-0.0972952689544421,-0.00357958668505153,0.0623531294783965,-0.0438212377282413,0.0115183354094004,0.0299248415274565,49.6184388813481,43.9131522383813,-72.2477953877767,-699.898900530298,205.776266336888,-0.991405535628768,-124.129585851317,86.0421625492383,-26.1646152407171,-63.6764248973591
"grb","grbsq",-0.323955152799792,-0.0521945920014537,0.0644526942020432,0.356263798640211,-0.288405347104316,-0.000695507237021897,0.00803162205329191,0.0113384991099969,0.0122693598038622,0.0124508240326111,746.321169727449,114.036578118679,-116.188249752323,-688.966525477806,596.92859878227,-8.85491329882896,-14.6198203173563,-24.8500322620531,-26.8069273796919,-28.509250746608
