name,gridcode,FREQUENCY,SUM_Shape_
Lower Cape Fear,31,1494,8913767.37671000000
Lower Cape Fear,41,1704,4435403.21961000000
Lower Cape Fear,42,24695,795721755.29500000000
Lower Cape Fear,43,5214,18205014.11130000000
Lower Cape Fear,52,20989,176855257.50700000000
Lower Cape Fear,71,9092,108557848.99300000000
Lower Cape Fear,81,3374,7586145.56581000000
Lower Cape Fear,82,6874,275724167.54200000000
Lower Cape Fear,90,14436,984795727.94500000000
Lower Cape Fear,95,10787,128407580.80400000000
Lower Hudson,11,1233,235572534.44800000000
Lower Hudson,21,43672,238744852.43200000000
Lower Hudson,22,52431,151630012.35400000000
Lower Hudson,23,35108,133490541.76900000000
Lower Hudson,24,7538,152033051.59600000000
Lower Hudson,31,927,3053386.20300000000
Lower Hudson,41,15521,730721103.33300000000
Lower Hudson,42,2521,7248100.45167000000
Lower Hudson,43,12218,43565333.01090000000
Lower Hudson,52,1468,6257700.57679000000
Lower Hudson,71,2641,8569816.36963000000
Lower Hudson,81,5588,39366153.91840000000
Lower Hudson,82,30,372214.92919900000
Lower Hudson,90,3845,83885350.75380000000
Lower Hudson,95,2211,7867176.11390000000
Lynnhaven-Poquoson,11,1168,40973673.72440000000
Lynnhaven-Poquoson,21,14481,91550533.06280000000
Lynnhaven-Poquoson,22,15713,120631280.68500000000
Lynnhaven-Poquoson,23,11933,71929989.56910000000
Lynnhaven-Poquoson,24,4697,26896615.38390000000
Lynnhaven-Poquoson,31,599,3617237.76855000000
Lynnhaven-Poquoson,41,769,1582305.38635000000
Lynnhaven-Poquoson,42,3974,23245268.74690000000
Lynnhaven-Poquoson,43,2519,11348077.20340000000
Lynnhaven-Poquoson,52,478,1678658.80737000000
Lynnhaven-Poquoson,71,429,1193951.84326000000
Lynnhaven-Poquoson,81,872,1686568.27698000000
Lynnhaven-Poquoson,82,244,5011410.33325000000
Lynnhaven-Poquoson,90,3740,54189274.87790000000
Lynnhaven-Poquoson,95,3196,34448380.19720000000
Middle Hudson,11,4495,146080202.50900000000
Middle Hudson,21,88502,329455834.93700000000
Middle Hudson,22,89763,236056043.28500000000
Middle Hudson,23,46929,141540572.90000000000
Middle Hudson,24,9965,54726088.23850000000
Middle Hudson,31,3587,21012400.15410000000
Middle Hudson,41,64290,2373654058.83000000000
Middle Hudson,42,43157,355653861.53400000000
Middle Hudson,43,85904,1181256468.63000000000
Middle Hudson,52,6149,26806541.45960000000
Middle Hudson,71,7724,32789205.17580000000
Middle Hudson,81,41865,773601264.44500000000
Middle Hudson,82,2794,155854338.34100000000
Middle Hudson,90,24548,380180031.82500000000
Middle Hudson,95,10988,43843017.57660000000
Mississippi Coastal,0,39,77017886.49900000000
Mississippi Coastal,11,6461,111472986.04400000000
Mississippi Coastal,21,58858,266320833.09600000000
Mississippi Coastal,22,45704,225345364.26100000000
Mississippi Coastal,23,25335,104989769.60500000000
Mississippi Coastal,24,6784,29722721.31960000000
Mississippi Coastal,31,4158,45866065.37480000000
Mississippi Coastal,41,1903,4337235.07690000000
Mississippi Coastal,42,37099,1408516059.62000000000
Mississippi Coastal,43,7279,27432126.06810000000
Mississippi Coastal,52,30312,251766832.24200000000
Mississippi Coastal,71,14877,130763765.94500000000
Mississippi Coastal,81,11590,301818170.73700000000
Mississippi Coastal,82,286,18650611.53260000000
Mississippi Coastal,90,25687,1266551357.88000000000
Mississippi Coastal,95,15173,232550173.00400000000
Mobile Bay,11,1319,3849112265.71000000000
Mobile Bay,21,29170,169170064.86500000000
Mobile Bay,22,27045,114555048.21200000000
Mobile Bay,23,15891,66636210.41560000000
Mobile Bay,24,4668,20654098.81900000000
Mobile Bay,31,2122,9454865.32288000000
Mobile Bay,41,186,319829.06799300000
Mobile Bay,42,13125,216814907.12600000000
Mobile Bay,43,2628,9535372.06420000000
Mobile Bay,52,3858,21630487.55490000000
Mobile Bay,71,4495,27634284.06370000000
Mobile Bay,81,6455,107633147.77200000000
Mobile Bay,82,1797,203592879.87700000000
Mobile Bay,90,7493,256282174.59400000000
Mobile Bay,95,4726,55942769.91580000000
Monterey Bay,0,34,457669.02007800000
Monterey Bay,11,437,738719424.57400000000
Monterey Bay,21,19307,140862685.77400000000
Monterey Bay,22,20174,70379976.54680000000
Monterey Bay,23,8529,84436584.33950000000
Monterey Bay,24,3607,21534764.97060000000
Monterey Bay,31,563,5909979.43869000000
Monterey Bay,41,23,77128.26347410000
Monterey Bay,42,8860,404713263.16200000000
Monterey Bay,43,9776,96563328.66120000000
Monterey Bay,52,6554,101268515.41500000000
Monterey Bay,71,6387,156960517.99900000000
Monterey Bay,81,1613,18254854.25400000000
Monterey Bay,82,905,97387684.40870000000
Monterey Bay,90,1139,5749738.96609000000
Monterey Bay,95,1771,17803903.23290000000
Mullica-Toms,0,44,12997585.05250000000
Mullica-Toms,11,4360,1154328176.32000000000
Mullica-Toms,21,57671,225504988.52200000000
Mullica-Toms,22,61669,304028424.67300000000
Mullica-Toms,23,41748,234450822.05200000000
Mullica-Toms,24,11220,84454625.00610000000
Mullica-Toms,31,2687,41378378.79640000000
Mullica-Toms,41,19721,233412986.64600000000
Mullica-Toms,42,16925,536746428.61600000000
Mullica-Toms,43,26788,311236624.95100000000
Mullica-Toms,52,5515,38184670.73370000000
Mullica-Toms,71,5858,53559937.62820000000
Mullica-Toms,81,4119,12638354.53490000000
Mullica-Toms,82,2997,123677537.88800000000
Mullica-Toms,90,10890,875797259.98500000000
Mullica-Toms,95,7009,225237160.49200000000
Narragansett,0,6,2252273.23609000000
Narragansett,11,3183,5852390575.60000000000
Narragansett,21,80587,257347681.01800000000
Narragansett,22,116234,326892905.21400000000
Narragansett,23,73766,435275716.19600000000
Narragansett,24,29157,198604617.84700000000
Narragansett,31,4300,25536811.07490000000
Narragansett,41,29480,526101983.98100000000
Narragansett,42,21931,200942326.99100000000
Narragansett,43,49996,383566621.81100000000
Narragansett,52,3810,25510445.20570000000
Narragansett,71,11448,60471245.62680000000
Narragansett,81,10359,76991657.72550000000
Narragansett,82,1514,47596989.20750000000
Narragansett,90,19105,508804816.36000000000
Narragansett,95,8566,37641065.35030000000
New River,0,119,8555520.71230000000
New River,11,2327,1932367377.04000000000
New River,21,31118,125760955.40800000000
New River,22,27092,132221328.99200000000
New River,23,15801,70833155.54810000000
New River,24,4622,17306556.50940000000
New River,31,2620,21874134.48490000000
New River,41,951,2691572.41516000000
New River,42,15166,329859842.04700000000
New River,43,11840,55348123.67250000000
New River,52,9186,50637164.28230000000
New River,71,6342,46046055.43210000000
New River,81,2058,6542582.05261000000
New River,82,3922,145863703.97600000000
New River,90,8818,364227591.93400000000
New River,95,6705,101899113.95900000000
Ogeechee Coastal,0,8,6415941.74193000000
Ogeechee Coastal,11,11034,1010468525.07000000000
Ogeechee Coastal,21,27814,180537416.84000000000
Ogeechee Coastal,22,26111,105452662.03300000000
Ogeechee Coastal,23,14096,55353121.68270000000
Ogeechee Coastal,24,3679,19261166.22620000000
Ogeechee Coastal,31,3324,24989085.59870000000
Ogeechee Coastal,41,1378,2844924.52699000000
Ogeechee Coastal,42,27049,923721846.89900000000
Ogeechee Coastal,43,1950,6574882.79113000000
Ogeechee Coastal,52,8770,121166537.64000000000
Ogeechee Coastal,71,8542,99638387.97910000000
Ogeechee Coastal,81,1678,17452422.50980000000
Ogeechee Coastal,82,27,698138.85497900000
Ogeechee Coastal,90,22944,832481640.74700000000
Ogeechee Coastal,95,13024,910702420.12000000000
Pamunkey,11,3184,224371990.42100000000
Pamunkey,21,48821,206160095.59900000000
Pamunkey,22,24476,53862525.98870000000
Pamunkey,23,8443,21029032.20520000000
Pamunkey,24,1624,6930657.36694000000
Pamunkey,31,980,5733113.54371000000
Pamunkey,41,50172,752660934.21900000000
Pamunkey,42,27060,458867607.02800000000
Pamunkey,43,68190,838406858.28600000000
Pamunkey,52,16288,148029473.06200000000
Pamunkey,71,9917,173645910.65400000000
Pamunkey,81,16281,389581222.02800000000
Pamunkey,82,5545,347643872.17700000000
Pamunkey,90,9733,274851659.09700000000
Pamunkey,95,4355,38987886.86830000000
Patuxent,11,1328,139927212.10300000000
Patuxent,21,63026,293203341.01900000000
Patuxent,22,46216,207839014.01400000000
Patuxent,23,22936,118558039.88300000000
Patuxent,24,7299,34776152.24300000000
Patuxent,31,1425,7796294.63196000000
Patuxent,41,26830,705125057.95900000000
Patuxent,42,2980,16970611.26710000000
Patuxent,43,24995,244494386.71900000000
Patuxent,52,4779,19664442.03180000000
Patuxent,71,4238,19705387.44510000000
Patuxent,81,14640,243803813.73600000000
Patuxent,82,3988,208273154.81000000000
Patuxent,90,6865,138908185.59300000000
Patuxent,95,2744,22253052.22780000000
Piscataqua-Salmon Falls,0,127,23386570.23010000000
Piscataqua-Salmon Falls,11,3357,896797580.80900000000
Piscataqua-Salmon Falls,21,66046,218843168.04700000000
Piscataqua-Salmon Falls,22,68776,194757927.20900000000
Piscataqua-Salmon Falls,23,39310,123749114.31000000000
Piscataqua-Salmon Falls,24,7727,42250148.89070000000
Piscataqua-Salmon Falls,31,4406,23149754.04970000000
Piscataqua-Salmon Falls,41,36770,410834530.12400000000
Piscataqua-Salmon Falls,42,45082,483738692.62400000000
Piscataqua-Salmon Falls,43,63997,1155853138.60000000000
Piscataqua-Salmon Falls,52,8995,48889049.22180000000
Piscataqua-Salmon Falls,71,9514,49035346.82010000000
Piscataqua-Salmon Falls,81,13592,173308238.18200000000
Piscataqua-Salmon Falls,82,143,3496562.82807000000
Piscataqua-Salmon Falls,90,22948,530650936.42300000000
Piscataqua-Salmon Falls,95,11745,96369140.14890000000
Salkehatchie,0,6,5400.00000006000
Salkehatchie,11,7041,38724665.89970000000
Salkehatchie,21,39800,183752457.93500000000
Salkehatchie,22,31819,73676479.03750000000
Salkehatchie,23,8658,17643495.79470000000
Salkehatchie,24,1248,4227633.76465000000
Salkehatchie,31,581,1835469.19556000000
Salkehatchie,41,17958,68556011.38000000000
Salkehatchie,42,42705,1139674504.72000000000
Salkehatchie,43,7118,24447223.16890000000
Salkehatchie,52,24879,246721260.03100000000
Salkehatchie,71,13488,190710804.91300000000
Salkehatchie,81,11580,91285041.52220000000
Salkehatchie,82,9040,577177204.01000000000
Salkehatchie,90,27973,1453462918.12000000000
Salkehatchie,95,16317,397027483.59400000000
San Diego,0,7,3259668659.04000000000
San Diego,11,772,442439914.51900000000
San Diego,21,55158,300004980.21500000000
San Diego,22,67445,261268971.11000000000
San Diego,23,31850,501078727.95000000000
San Diego,24,19331,165058292.99200000000
San Diego,31,1138,5332133.54416000000
San Diego,41,52,150439.71862900000
San Diego,42,3919,34865255.93030000000
San Diego,43,3442,27990284.27120000000
San Diego,52,15994,2123186995.07000000000
San Diego,71,16698,252659410.29100000000
San Diego,81,627,6105334.20639000000
San Diego,82,203,4816324.02420000000
San Diego,90,2797,23927411.57000000000
San Diego,95,2576,28456730.79070000000
San Pablo Bay,11,2454,586816595.18100000000
San Pablo Bay,21,33894,172172316.05300000000
San Pablo Bay,22,42493,172972764.92900000000
San Pablo Bay,23,22367,221163169.25400000000
San Pablo Bay,24,9532,93565659.35010000000
San Pablo Bay,31,872,2513461.04822000000
San Pablo Bay,41,4176,25961450.80580000000
San Pablo Bay,42,14532,223669244.53700000000
San Pablo Bay,43,19412,182825024.54300000000
San Pablo Bay,52,24432,331504677.79500000000
San Pablo Bay,71,17103,672539304.69000000000
San Pablo Bay,81,690,13985692.65580000000
San Pablo Bay,82,1673,238171719.68700000000
San Pablo Bay,90,844,5197705.95074000000
San Pablo Bay,95,3227,135206355.41300000000
South Corpus Christi Bay,0,46,1269802.88086000000
South Corpus Christi Bay,11,776,25233928.00600000000
South Corpus Christi Bay,21,8827,44259015.97600000000
South Corpus Christi Bay,22,19807,48205914.86210000000
South Corpus Christi Bay,23,13230,111786124.87800000000
South Corpus Christi Bay,24,7753,58640868.18240000000
South Corpus Christi Bay,31,1861,16307012.46640000000
South Corpus Christi Bay,41,475,2354776.06201000000
South Corpus Christi Bay,42,357,973050.78735700000
South Corpus Christi Bay,43,558,2477221.49048000000
South Corpus Christi Bay,52,2112,24167639.68510000000
South Corpus Christi Bay,71,2847,34522569.88220000000
South Corpus Christi Bay,81,667,13560940.64030000000
South Corpus Christi Bay,82,770,347646929.86400000000
South Corpus Christi Bay,90,804,6855024.24317000000
South Corpus Christi Bay,95,2000,52629730.41690000000
St. Louis,11,5866,226271741.65200000000
St. Louis,21,44518,158275457.15800000000
St. Louis,22,43396,104366438.73800000000
St. Louis,23,22409,78112771.53860000000
St. Louis,24,6331,32933590.60360000000
St. Louis,31,4440,96739641.70530000000
St. Louis,41,47081,1138504492.21000000000
St. Louis,42,32062,236068298.17700000000
St. Louis,43,70233,800289671.40200000000
St. Louis,52,21475,116452103.30200000000
St. Louis,71,12915,87855398.61600000000
St. Louis,81,11279,186855075.65900000000
St. Louis,82,344,8325243.20297000000
St. Louis,90,43145,4026701705.29000000000
St. Louis,95,42875,303920966.72500000000
Strait of Georgia,0,1,1018159386.26000000000
Strait of Georgia,11,566,1012196030.93000000000
Strait of Georgia,21,12797,42649600.54310000000
Strait of Georgia,22,13377,51468180.53950000000
Strait of Georgia,23,7324,30285664.61150000000
Strait of Georgia,24,1941,13777428.92980000000
Strait of Georgia,31,1668,4930775.10423000000
Strait of Georgia,41,6720,59110623.12250000000
Strait of Georgia,42,5299,167660211.87700000000
Strait of Georgia,43,9261,101181392.92300000000
Strait of Georgia,52,2621,21288033.99210000000
Strait of Georgia,71,1950,11428773.37950000000
Strait of Georgia,81,6867,112625672.31900000000
Strait of Georgia,82,952,124262257.46000000000
Strait of Georgia,90,3720,45997277.92870000000
Strait of Georgia,95,4595,49759772.65030000000
Suisun Bay,11,3272,172654699.09900000000
Suisun Bay,21,20252,121324143.99400000000
Suisun Bay,22,27985,139135268.96200000000
Suisun Bay,23,16674,189905697.05000000000
Suisun Bay,24,6477,50527965.00350000000
Suisun Bay,31,508,2630788.75923000000
Suisun Bay,41,617,3706429.11644000000
Suisun Bay,42,4249,22413064.50490000000
Suisun Bay,43,6503,129125498.72500000000
Suisun Bay,52,11310,221160628.59100000000
Suisun Bay,71,9654,428493480.21000000000
Suisun Bay,81,230,2093865.77740000000
Suisun Bay,82,528,66260699.89530000000
Suisun Bay,90,413,1463886.17506000000
Suisun Bay,95,1686,235740445.18500000000
Tangier,11,4802,898649319.34200000000
Tangier,21,16957,74912167.11730000000
